"Date","Price","Open","High","Low","Vol.","Change %"
"04/16/2026","1,990.23","1,984.21","2,002.71","1,984.21","","0.30%"
"04/15/2026","1,984.21","1,981.04","1,995.45","1,981.04","","0.16%"
"04/13/2026","1,981.04","2,002.35","2,006.65","1,978.94","","-1.06%"
"04/12/2026","2,002.35","2,002.21","2,007.97","1,988.64","","0.01%"
"04/09/2026","2,002.21","2,026.06","2,026.06","2,000.81","","1.56%"
"04/07/2026","1,971.37","1,954.45","1,975.15","1,954.45","","0.87%"
"04/06/2026","1,954.45","1,945.34","1,976.07","1,945.34","","0.47%"
"04/05/2026","1,945.34","1,980.36","1,980.36","1,943.69","","-1.77%"
"04/02/2026","1,980.36","2,001.65","2,001.72","1,980.29","","-1.06%"
"04/01/2026","2,001.65","1,960.03","2,005.05","1,960.03","","2.12%"
"03/31/2026","1,960.03","1,979.34","1,984.47","1,953.18","","-0.98%"
"03/30/2026","1,979.34","1,998.39","2,005.66","1,979.34","","-1.14%"
"01/15/2026","1,912.72","1,908.21","1,919.10","1,908.21","","0.24%"
"01/14/2026","1,908.21","1,899.13","1,909.78","1,898.81","","0.48%"
"01/13/2026","1,899.13","1,897.75","1,910.05","1,897.49","","0.07%"
"01/12/2026","1,897.75","1,896.20","1,900.46","1,885.81","","0.08%"
"01/11/2026","1,896.20","1,914.94","1,916.32","1,895.34","","-0.98%"
"01/08/2026","1,914.94","1,913.37","1,921.58","1,912.39","","0.08%"
"01/07/2026","1,913.37","1,895.53","1,916.11","1,895.53","","0.94%"
"01/06/2026","1,895.53","1,886.76","1,906.45","1,882.34","","0.46%"
"01/05/2026","1,886.76","1,887.85","1,892.02","1,876.80","","-0.06%"
"01/04/2026","1,887.85","1,869.42","1,892.48","1,869.31","","0.99%"
"01/01/2026","1,869.42","1,853.54","1,872.46","1,853.54","","0.86%"
"12/30/2025","1,853.54","1,857.50","1,863.10","1,849.65","","-0.21%"
"12/29/2025","1,857.50","1,867.14","1,872.66","1,849.42","","-0.52%"
"12/28/2025","1,867.14","1,882.55","1,894.44","1,865.38","","-0.82%"
"12/24/2025","1,882.55","1,873.17","1,884.05","1,870.34","","0.50%"
"12/23/2025","1,873.17","1,871.34","1,882.44","1,871.10","","0.10%"
"12/22/2025","1,871.34","1,853.59","1,875.67","1,853.59","","0.96%"
"12/21/2025","1,853.59","1,859.86","1,862.45","1,842.61","","-0.34%"
"12/18/2025","1,859.86","1,869.21","1,872.79","1,857.87","","-0.50%"
"12/17/2025","1,869.21","1,877.19","1,884.05","1,863.12","","-0.42%"
"12/15/2025","1,877.19","1,891.49","1,894.70","1,874.75","","-0.76%"
"12/14/2025","1,891.49","1,903.29","1,908.37","1,888.58","","-0.62%"
"12/11/2025","1,903.29","1,899.10","1,912.96","1,891.83","","0.22%"
"12/10/2025","1,899.10","1,907.78","1,917.76","1,899.10","","-0.45%"
"12/09/2025","1,907.78","1,892.95","1,913.53","1,892.95","","0.78%"
"12/08/2025","1,892.95","1,886.12","1,902.07","1,886.12","","0.36%"
"12/07/2025","1,886.12","1,891.63","1,899.62","1,884.58","","-0.29%"
"12/04/2025","1,891.63","1,898.31","1,905.87","1,887.92","","-0.35%"
"12/03/2025","1,898.31","1,906.28","1,918.47","1,897.73","","-0.42%"
"12/02/2025","1,906.28","1,895.70","1,908.94","1,895.30","","0.56%"
"12/01/2025","1,895.70","1,917.02","1,919.27","1,894.14","","-1.11%"
"11/30/2025","1,917.02","1,934.11","1,939.02","1,917.02","","-0.88%"
"11/27/2025","1,934.11","1,926.51","1,938.57","1,925.00","","0.39%"
"11/26/2025","1,926.51","1,932.83","1,936.93","1,923.97","","-0.33%"
"11/25/2025","1,932.83","1,926.17","1,951.10","1,926.17","","0.35%"
"11/24/2025","1,926.17","1,883.25","1,929.26","1,883.25","","2.28%"
"11/23/2025","1,883.25","1,877.77","1,886.97","1,860.56","","0.29%"
"11/20/2025","1,877.77","1,893.43","1,906.73","1,876.27","","-0.83%"
"11/19/2025","1,893.43","1,889.77","1,902.41","1,885.93","","0.19%"
"11/18/2025","1,889.77","1,869.90","1,905.58","1,869.90","","1.06%"
"11/17/2025","1,869.90","1,860.53","1,878.82","1,850.29","","0.50%"
"11/16/2025","1,860.53","1,851.26","1,877.98","1,813.36","","0.50%"
"11/13/2025","1,851.26","1,898.97","1,901.09","1,848.40","","-2.51%"
"11/12/2025","1,898.97","1,917.12","1,923.87","1,894.88","","-0.95%"
"11/11/2025","1,917.12","1,910.31","1,924.66","1,907.01","","0.36%"
"11/10/2025","1,910.31","1,928.80","1,938.74","1,907.58","","-0.96%"
"11/09/2025","1,928.80","1,940.62","1,957.28","1,927.68","","-0.61%"
"11/06/2025","1,940.62","1,940.51","1,946.14","1,926.50","","0.01%"
"11/05/2025","1,940.51","1,946.25","1,955.03","1,939.02","","-0.30%"
"11/04/2025","1,946.25","1,961.00","1,975.23","1,944.58","","-0.75%"
"11/03/2025","1,961.00","1,982.95","1,986.52","1,960.60","","-1.11%"
"11/02/2025","1,982.95","1,987.76","1,995.23","1,980.82","","-0.24%"
"10/30/2025","1,987.76","1,982.76","1,995.46","1,982.76","","0.25%"
"10/29/2025","1,982.76","1,973.56","1,995.69","1,973.56","","0.47%"
"10/28/2025","1,973.56","1,969.20","1,986.78","1,968.14","","0.22%"
"10/27/2025","1,969.20","1,986.69","1,998.14","1,969.18","","-0.88%"
"10/26/2025","1,986.69","1,998.10","2,015.61","1,985.62","","-0.57%"
"10/23/2025","1,998.10","1,974.18","2,000.62","1,974.18","","1.21%"
"10/22/2025","1,974.18","1,968.89","1,984.94","1,962.00","","0.27%"
"10/21/2025","1,968.89","1,965.83","1,995.99","1,965.83","","0.16%"
"10/20/2025","1,965.83","1,938.18","1,970.16","1,928.91","","1.43%"
"10/19/2025","1,938.18","1,967.92","1,971.62","1,937.27","","-1.51%"
"10/16/2025","1,967.92","1,967.05","1,980.46","1,960.33","","0.04%"
"10/15/2025","1,967.05","1,995.65","1,996.05","1,967.05","","-1.43%"
"10/14/2025","1,995.65","2,009.88","2,023.21","1,994.29","","-0.71%"
"10/13/2025","2,009.88","1,998.44","2,022.63","1,998.44","","0.57%"
"10/12/2025","1,998.44","2,033.04","2,038.50","1,995.53","","-1.70%"
"10/09/2025","2,033.04","2,051.54","2,056.88","2,030.72","","-0.90%"
"10/08/2025","2,051.54","2,064.96","2,069.75","2,048.42","","-0.65%"
"10/07/2025","2,064.96","2,088.80","2,094.19","2,063.21","","-1.14%"
"10/06/2025","2,088.80","2,092.56","2,110.02","2,087.93","","-0.18%"
"10/05/2025","2,092.56","2,081.84","2,099.09","2,081.84","","0.51%"
"09/30/2025","2,081.84","2,084.64","2,096.64","2,080.66","","-0.13%"
"09/29/2025","2,084.64","2,085.94","2,089.95","2,077.72","","-0.06%"
"09/28/2025","2,085.94","2,103.04","2,107.82","2,084.44","","-0.81%"
"09/25/2025","2,103.04","2,091.25","2,118.17","2,091.25","","0.56%"
"09/24/2025","2,091.25","2,072.25","2,095.97","2,071.07","","0.92%"
"09/23/2025","2,072.25","2,071.57","2,082.96","2,065.75","","0.03%"
"09/22/2025","2,071.57","2,083.44","2,089.84","2,064.98","","-0.57%"
"09/21/2025","2,083.44","2,107.14","2,116.77","2,079.49","","-1.12%"
"09/18/2025","2,107.14","2,127.12","2,131.57","2,105.08","","-0.94%"
"09/17/2025","2,127.12","2,134.43","2,143.81","2,124.15","","-0.34%"
"09/16/2025","2,134.43","2,135.04","2,147.57","2,130.38","","-0.03%"
"09/15/2025","2,135.04","2,129.05","2,150.46","2,125.40","","0.28%"
"09/14/2025","2,129.05","2,151.08","2,163.77","2,127.56","","-1.02%"
"09/11/2025","2,151.08","2,129.90","2,155.97","2,125.32","","0.99%"
"09/10/2025","2,129.90","2,152.83","2,164.28","2,128.29","","-1.06%"
"09/09/2025","2,152.83","2,191.99","2,198.98","2,152.41","","-1.79%"
"09/08/2025","2,191.99","2,188.10","2,201.64","2,188.10","","0.18%"
"09/07/2025","2,188.10","2,182.76","2,199.64","2,182.76","","0.24%"
"09/04/2025","2,182.76","2,195.83","2,201.51","2,180.16","","-0.60%"
"09/03/2025","2,195.83","2,195.11","2,215.00","2,193.47","","0.03%"
"09/02/2025","2,195.11","2,188.76","2,197.67","2,184.63","","0.29%"
"09/01/2025","2,188.76","2,193.72","2,216.42","2,184.93","","-0.23%"
"08/31/2025","2,193.72","2,156.99","2,198.46","2,156.99","","1.70%"
"08/28/2025","2,156.99","2,116.15","2,158.72","2,116.15","","1.57%"
"08/26/2025","2,123.71","2,128.77","2,150.69","2,120.25","","-0.24%"
"08/25/2025","2,128.77","2,101.60","2,132.31","2,101.60","","1.29%"
"08/24/2025","2,101.60","2,089.44","2,111.72","2,089.44","","0.58%"
"08/21/2025","2,089.44","2,086.22","2,092.21","2,065.50","","0.15%"
"08/20/2025","2,086.22","2,104.78","2,110.98","2,084.65","","-0.88%"
"08/19/2025","2,104.78","2,101.84","2,119.25","2,096.88","","0.14%"
"08/18/2025","2,101.84","2,095.95","2,112.64","2,095.95","","0.28%"
"08/17/2025","2,095.95","2,073.82","2,098.69","2,073.82","","1.07%"
"08/14/2025","2,073.82","2,057.16","2,084.56","2,057.16","","0.81%"
"08/13/2025","2,057.16","2,051.30","2,077.44","2,044.68","","0.29%"
"08/12/2025","2,051.30","2,067.03","2,088.73","2,045.77","","-0.76%"
"08/11/2025","2,067.03","2,066.64","2,087.28","2,062.86","","0.02%"
"08/10/2025","2,066.64","2,097.70","2,103.05","2,063.05","","-1.48%"
"08/07/2025","2,097.70","2,125.51","2,132.54","2,092.40","","-1.31%"
"08/06/2025","2,125.51","2,129.93","2,155.46","2,121.43","","-0.21%"
"08/04/2025","2,129.93","2,150.46","2,159.42","2,125.45","","-0.95%"
"08/03/2025","2,150.46","2,114.35","2,161.41","2,114.35","","1.71%"
"07/31/2025","2,114.35","2,065.36","2,117.01","2,065.36","","2.37%"
"07/30/2025","2,065.36","2,044.13","2,067.89","2,039.28","","1.04%"
"07/29/2025","2,044.13","2,061.74","2,074.68","2,043.14","","-0.85%"
"07/28/2025","2,061.74","2,058.15","2,082.02","2,055.41","","0.17%"
"07/27/2025","2,058.15","2,089.77","2,089.77","2,055.53","","-1.51%"
"07/24/2025","2,089.77","2,086.48","2,100.86","2,071.63","","0.16%"
"07/23/2025","2,086.48","2,030.16","2,088.25","2,030.16","","2.77%"
"07/22/2025","2,030.16","1,996.78","2,035.41","1,984.63","","1.67%"
"07/21/2025","1,996.78","1,978.73","2,022.13","1,978.73","","0.91%"
"07/20/2025","1,978.73","1,936.66","1,983.88","1,936.66","","2.17%"
"07/17/2025","1,936.66","1,920.77","1,943.24","1,920.77","","0.83%"
