"Date","Price","Open","High","Low","Vol.","Change %"
"01/11/2026","4,958.99","4,998.55","5,002.05","4,918.67","","-0.79%"
"01/04/2026","4,998.55","4,953.61","5,011.96","4,953.61","","1.79%"
"12/28/2025","4,910.61","4,865.34","4,916.03","4,865.34","","0.55%"
"12/21/2025","4,883.57","4,860.63","4,896.65","4,860.63","","1.08%"
"12/14/2025","4,831.41","4,853.91","4,867.83","4,828.19","","-2.67%"
"12/07/2025","4,963.83","4,941.84","4,970.71","4,933.47","","1.58%"
"11/30/2025","4,886.57","4,927.49","4,936.95","4,877.77","","-2.82%"
"11/23/2025","5,028.14","5,009.80","5,042.79","5,009.80","","3.27%"
"11/16/2025","4,869.01","4,901.38","4,940.02","4,866.52","","3.54%"
"11/09/2025","4,702.69","4,825.33","4,832.21","4,692.75","","-5.34%"
"11/02/2025","4,967.94","4,986.89","4,986.89","4,928.21","","-3.01%"
"10/26/2025","5,122.22","5,092.40","5,129.99","5,092.40","","-0.54%"
"10/19/2025","5,149.89","5,094.70","5,155.17","5,094.70","","0.60%"
"10/12/2025","5,119.42","5,116.51","5,158.73","5,099.07","","-3.11%"
"10/05/2025","5,283.72","5,337.86","5,351.65","5,283.72","","-2.44%"
"09/28/2025","5,415.79","5,389.78","5,438.61","5,389.78","","0.01%"
"09/21/2025","5,415.13","5,392.65","5,455.05","5,392.65","","-0.64%"
"09/14/2025","5,449.93","5,492.34","5,499.40","5,449.93","","-1.34%"
"09/07/2025","5,523.78","5,473.15","5,538.24","5,464.00","","-1.61%"
"08/31/2025","5,614.28","5,631.62","5,649.91","5,614.04","","1.75%"
"08/24/2025","5,517.95","5,443.31","5,521.79","5,443.31","","2.66%"
"08/17/2025","5,374.96","5,410.90","5,429.35","5,340.55","","0.46%"
"08/10/2025","5,350.25","5,314.33","5,375.35","5,314.33","","-1.07%"
"08/03/2025","5,408.07","5,471.16","5,491.48","5,405.14","","-0.65%"
"07/27/2025","5,443.42","5,352.20","5,459.54","5,352.20","","0.95%"
"07/20/2025","5,392.04","5,363.95","5,411.95","5,350.99","","5.06%"
"07/13/2025","5,132.48","5,116.90","5,160.86","5,116.90","","1.27%"
"07/06/2025","5,068.04","5,035.47","5,091.91","5,035.47","","3.55%"
"06/29/2025","4,894.07","4,865.33","4,901.15","4,859.46","","1.27%"
"06/22/2025","4,832.83","4,767.64","4,836.72","4,766.27","","1.65%"
"06/15/2025","4,754.41","4,776.83","4,804.87","4,753.57","","0.96%"
"06/01/2025","4,709.09","4,664.79","4,718.57","4,664.79","","1.53%"
"05/25/2025","4,637.92","4,615.41","4,662.12","4,588.44","","-3.08%"
"05/18/2025","4,785.12","4,801.32","4,824.97","4,785.12","","-0.73%"
"05/11/2025","4,820.47","4,781.02","4,831.05","4,761.50","","-1.67%"
"05/04/2025","4,902.28","4,802.42","4,909.45","4,802.42","","-0.32%"
"04/27/2025","4,917.92","4,935.62","4,957.47","4,916.42","","-1.10%"
"04/20/2025","4,972.60","5,022.47","5,030.19","4,971.94","","-2.45%"
"04/13/2025","5,097.33","5,205.23","5,218.92","5,097.33","","-2.07%"
"04/06/2025","5,205.23","5,219.16","5,239.23","5,173.90","","-0.27%"
"03/23/2025","5,219.16","5,201.70","5,229.01","5,180.08","","0.34%"
"03/16/2025","5,201.70","5,225.61","5,239.70","5,198.23","","-0.46%"
"03/09/2025","5,225.61","5,203.96","5,231.75","5,167.73","","0.42%"
